iter	Passed	Remaining
0	12	64002
1	17	43159
2	21	35730
3	25	32260
4	29	29923
5	33	28279
6	37	26917
7	39	24827
8	43	24144
9	45	22781
10	49	22390
11	53	22170
12	57	21984
13	61	21755
14	64	21548
15	68	21393
16	72	21226
17	76	21234
18	81	21431
19	86	21419
20	90	21353
21	94	21317
22	98	21274
23	102	21212
24	107	21293
25	110	21193
26	114	21116
27	118	21096
28	122	21043
29	126	20968
30	130	20893
31	134	20860
32	138	20795
33	142	20750
34	145	20692
35	149	20638
36	153	20601
37	157	20549
38	161	20520
39	165	20504
40	169	20478
41	173	20454
42	177	20425
43	181	20436
44	185	20406
45	189	20376
46	193	20369
47	197	20381
48	202	20412
49	206	20397
50	210	20402
51	214	20388
52	217	20270
53	221	20262
54	225	20262
55	229	20271
56	233	20259
57	237	20253
58	241	20261
59	246	20264
60	251	20366
61	255	20375
62	260	20401
63	264	20420
64	269	20449
65	273	20468
66	278	20485
67	282	20521
68	288	20589
69	291	20495
70	295	20483
71	299	20477
72	303	20488
73	307	20491
74	311	20486
75	316	20482
76	320	20471
77	324	20469
78	328	20462
79	332	20468
80	337	20481
81	341	20476
82	345	20468
83	350	20504
84	354	20503
85	358	20496
86	363	20521
87	367	20520
88	371	20521
89	376	20522
90	381	20562
91	385	20558
92	389	20560
93	393	20561
94	398	20557
95	402	20555
96	406	20554
97	411	20568
98	415	20564
99	420	20603
100	425	20636
101	430	20648
102	434	20659
103	440	20723
104	444	20741
105	449	20761
106	454	20780
107	459	20830
108	464	20827
109	468	20829
110	473	20851
111	477	20855
112	482	20853
113	486	20863
114	491	20863
115	495	20876
116	500	20872
117	504	20876
118	508	20871
119	513	20866
120	517	20886
121	522	20878
122	526	20887
123	531	20883
124	536	20909
125	540	20917
126	545	20935
127	550	20944
128	556	20999
129	561	21050
130	567	21081
131	572	21120
132	577	21132
133	582	21148
134	587	21167
135	592	21201
136	597	21215
137	602	21223
138	606	21221
139	612	21262
140	617	21278
141	623	21327
142	628	21342
143	633	21365
144	638	21362
145	642	21364
146	647	21373
147	653	21423
148	659	21457
149	664	21471
150	668	21476
151	674	21502
152	678	21502
153	683	21498
154	688	21516
155	692	21511
156	697	21508
157	701	21511
158	706	21506
159	710	21501
160	715	21506
161	720	21508
162	724	21507
163	729	21500
164	733	21502
165	738	21497
166	742	21490
167	747	21489
168	751	21483
169	755	21477
170	760	21470
171	764	21469
172	769	21466
173	773	21462
174	778	21457
175	782	21458
176	788	21484
177	794	21516
178	799	21537
179	804	21545
180	811	21605
181	816	21625
182	821	21633
183	826	21638
184	831	21638
185	835	21636
186	840	21644
187	845	21640
188	850	21641
189	854	21639
190	859	21640
191	864	21637
192	868	21637
193	873	21635
194	877	21632
195	882	21629
196	887	21628
197	891	21624
198	896	21620
199	901	21630
200	906	21638
201	911	21640
202	916	21647
203	921	21654
204	925	21650
205	930	21648
206	934	21645
207	939	21642
208	944	21641
209	949	21658
210	954	21665
211	959	21669
212	965	21700
213	970	21704
214	977	21745
215	981	21747
216	986	21744
217	991	21742
218	996	21760
219	1001	21755
220	1005	21753
221	1010	21756
222	1015	21753
223	1019	21746
224	1024	21743
225	1029	21736
226	1033	21735
227	1038	21740
228	1043	21738
229	1047	21732
230	1052	21726
231	1057	21743
232	1062	21738
233	1067	21732
234	1071	21732
235	1076	21725
236	1080	21720
237	1085	21715
238	1090	21716
239	1094	21707
240	1099	21703
241	1103	21696
242	1107	21689
243	1112	21684
244	1117	21695
245	1122	21695
246	1128	21716
247	1135	21755
248	1140	21762
249	1145	21763
250	1150	21771
251	1155	21766
252	1159	21763
253	1165	21768
254	1169	21764
255	1174	21759
256	1179	21761
257	1183	21756
258	1188	21750
259	1192	21745
260	1197	21740
261	1201	21736
262	1206	21731
263	1211	21729
264	1215	21724
265	1220	21720
266	1225	21717
267	1229	21713
268	1234	21706
269	1238	21703
270	1243	21699
271	1248	21695
272	1252	21690
273	1257	21687
274	1262	21685
275	1266	21681
276	1271	21683
277	1276	21679
278	1280	21674
279	1285	21669
280	1290	21673
281	1295	21673
282	1301	21685
283	1305	21686
284	1311	21693
285	1317	21712
286	1324	21746
287	1330	21761
288	1336	21780
289	1340	21777
290	1345	21771
291	1350	21771
292	1354	21766
293	1359	21762
294	1364	21763
295	1369	21757
296	1373	21752
297	1378	21751
298	1383	21753
299	1388	21752
300	1393	21747
301	1398	21749
302	1402	21741
303	1407	21736
304	1411	21733
305	1416	21728
306	1421	21722
307	1425	21715
308	1429	21707
309	1434	21699
310	1438	21692
311	1443	21684
312	1447	21676
313	1451	21667
314	1456	21659
315	1460	21652
316	1465	21643
317	1470	21644
318	1474	21643
319	1479	21640
320	1486	21673
321	1492	21680
322	1497	21686
323	1503	21702
324	1509	21719
325	1514	21712
326	1518	21705
327	1523	21699
328	1527	21691
329	1532	21684
330	1537	21680
331	1541	21674
332	1545	21667
333	1550	21660
334	1554	21652
335	1559	21646
336	1563	21640
337	1568	21632
338	1572	21624
339	1577	21616
340	1581	21608
341	1585	21600
342	1590	21594
343	1594	21587
344	1599	21580
345	1603	21572
346	1608	21569
347	1613	21563
348	1617	21556
349	1621	21548
350	1626	21543
351	1630	21536
352	1635	21529
353	1639	21522
354	1644	21522
355	1649	21521
356	1654	21523
357	1659	21523
358	1664	21524
359	1670	21525
360	1674	21523
361	1679	21519
362	1685	21526
363	1690	21529
364	1695	21530
365	1700	21534
366	1706	21542
367	1711	21540
368	1716	21540
369	1721	21546
370	1727	21554
371	1732	21553
372	1737	21557
373	1742	21557
374	1747	21556
375	1752	21557
376	1757	21556
377	1763	21561
378	1768	21564
379	1774	21571
380	1779	21567
381	1784	21575
382	1790	21583
383	1795	21582
384	1800	21584
385	1805	21580
386	1811	21589
387	1816	21589
388	1821	21595
389	1831	21649
390	1836	21648
391	1841	21650
392	1846	21650
393	1851	21649
394	1857	21655
395	1866	21702
396	1871	21697
397	1877	21703
398	1882	21704
399	1887	21701
400	1892	21699
401	1898	21714
402	1903	21709
403	1908	21710
404	1913	21705
405	1917	21699
406	1923	21705
407	1928	21706
408	1933	21705
409	1939	21709
410	1944	21714
411	1949	21709
412	1954	21711
413	1959	21705
414	1964	21699
415	1969	21701
416	1974	21704
417	1979	21699
418	1985	21703
419	1989	21699
420	1994	21693
421	1999	21695
422	2004	21694
423	2009	21692
424	2015	21691
425	2019	21686
426	2024	21680
427	2029	21680
428	2034	21673
429	2038	21667
430	2043	21665
431	2048	21660
432	2053	21663
433	2059	21664
434	2063	21658
435	2068	21654
436	2073	21647
437	2078	21644
438	2082	21638
439	2087	21632
440	2092	21627
441	2096	21621
442	2101	21614
443	2106	21611
444	2110	21604
445	2115	21602
446	2120	21595
447	2124	21590
448	2129	21583
449	2134	21577
450	2138	21573
451	2143	21568
452	2148	21562
453	2153	21559
454	2158	21556
455	2162	21549
456	2167	21544
457	2172	21548
458	2178	21551
459	2183	21549
460	2188	21546
461	2193	21542
462	2198	21540
463	2203	21537
464	2207	21532
465	2212	21531
466	2217	21525
467	2223	21530
468	2228	21524
469	2232	21517
470	2237	21511
471	2242	21508
472	2246	21504
473	2251	21498
474	2255	21491
475	2260	21488
476	2265	21481
477	2270	21476
478	2274	21471
479	2279	21466
480	2284	21459
481	2288	21453
482	2293	21446
483	2298	21442
484	2302	21436
485	2307	21432
486	2312	21426
487	2317	21422
488	2321	21420
489	2326	21415
490	2331	21413
491	2336	21409
492	2342	21411
493	2347	21410
494	2352	21410
495	2358	21414
496	2363	21412
497	2367	21406
498	2372	21399
499	2377	21393
500	2382	21398
501	2389	21406
502	2393	21401
503	2398	21398
504	2403	21393
505	2408	21386
506	2412	21381
507	2417	21375
508	2422	21371
509	2426	21365
510	2432	21365
511	2436	21359
512	2441	21353
513	2446	21348
514	2450	21342
515	2455	21336
516	2460	21332
517	2464	21326
518	2469	21319
519	2473	21314
520	2478	21308
521	2483	21301
522	2487	21293
523	2492	21290
524	2496	21283
525	2501	21276
526	2506	21275
527	2514	21295
528	2519	21293
529	2524	21290
530	2529	21285
531	2534	21284
532	2539	21282
533	2544	21276
534	2549	21273
535	2553	21269
536	2558	21264
537	2563	21257
538	2567	21250
539	2572	21242
540	2576	21237
541	2581	21230
542	2586	21226
543	2590	21218
544	2594	21211
545	2599	21205
546	2604	21200
547	2608	21193
548	2613	21186
549	2617	21178
550	2622	21171
551	2626	21164
552	2631	21158
553	2635	21151
554	2640	21144
555	2644	21140
556	2649	21133
557	2653	21125
558	2658	21118
559	2663	21114
560	2667	21108
561	2672	21102
562	2677	21099
563	2681	21092
564	2686	21085
565	2690	21080
566	2695	21077
567	2701	21079
568	2706	21077
569	2711	21074
570	2716	21071
571	2722	21075
572	2728	21081
573	2733	21077
574	2738	21076
575	2743	21071
576	2748	21069
577	2753	21068
578	2759	21066
579	2764	21064
580	2768	21059
581	2773	21053
582	2778	21049
583	2782	21042
584	2787	21037
585	2791	21030
586	2796	21024
587	2801	21020
588	2805	21014
589	2810	21007
590	2815	21001
591	2819	20995
592	2824	20989
593	2828	20983
594	2833	20977
595	2837	20970
596	2842	20964
597	2847	20959
598	2852	20958
599	2857	20955
600	2862	20955
601	2867	20951
602	2872	20948
603	2878	20948
604	2884	20955
605	2889	20949
606	2894	20951
607	2900	20951
608	2905	20947
609	2909	20942
610	2914	20936
611	2919	20930
612	2924	20926
613	2928	20920
614	2933	20915
615	2937	20908
616	2942	20902
617	2946	20895
618	2951	20890
619	2956	20883
620	2960	20877
621	2965	20871
622	2969	20865
623	2974	20858
624	2978	20851
625	2983	20845
626	2987	20838
627	2992	20831
628	2996	20825
629	3001	20818
630	3005	20811
631	3010	20803
632	3014	20797
633	3019	20791
634	3023	20783
635	3027	20776
636	3032	20773
637	3039	20779
638	3044	20774
639	3049	20772
640	3053	20767
641	3058	20764
642	3064	20766
643	3069	20761
644	3074	20757
645	3079	20754
646	3083	20747
647	3088	20741
648	3093	20736
649	3097	20730
650	3102	20726
651	3105	20711
652	3110	20706
653	3115	20700
654	3119	20693
655	3123	20686
656	3128	20679
657	3133	20674
658	3137	20667
659	3142	20661
660	3146	20654
661	3151	20648
662	3155	20641
663	3159	20634
664	3164	20627
665	3168	20622
666	3173	20616
667	3178	20610
668	3182	20603
669	3187	20597
670	3191	20592
671	3197	20593
672	3202	20593
673	3208	20590
674	3213	20587
675	3218	20586
676	3225	20594
677	3229	20589
678	3235	20593
679	3240	20588
680	3245	20583
681	3250	20580
682	3256	20581
683	3261	20577
684	3266	20573
685	3270	20567
686	3275	20563
687	3280	20559
688	3284	20553
689	3289	20547
690	3294	20542
691	3298	20537
692	3303	20532
693	3308	20526
694	3312	20521
695	3317	20515
696	3322	20509
697	3326	20503
698	3331	20499
699	3337	20502
700	3342	20496
701	3346	20490
702	3351	20484
703	3356	20479
704	3360	20475
705	3365	20469
706	3370	20467
707	3376	20467
708	3381	20465
709	3386	20464
710	3391	20461
711	3397	20458
712	3402	20455
713	3406	20451
714	3412	20452
715	3418	20450
716	3422	20445
